fips_code,lng,lat
13111,-84.31929617,34.86412558
19109,-94.20689787,43.20413984
42115,-75.80090451,41.82127676
40053,-97.78493404,36.79651364
29213,-93.04127586,36.65473646
12049,-81.80953792,27.49319733
5023,-92.02725586,35.53853919
48017,-102.8298267,34.06860316
49037,-109.8043936,37.62607487
31143,-97.56825226,41.18687055
42075,-76.45759104,40.36716938
35028,-106.3065081,35.86926339
40137,-97.85148899,34.48542286
19031,-91.13246684,41.77233777
19069,-93.26256925,42.73270384
20151,-98.73915959,37.6478469
27101,-95.76328482,44.02216709
29121,-92.56453089,39.83049768
55039,-88.48885325,43.75354908
48251,-97.36618817,32.3788142
55137,-89.24316913,44.11328215
4015,-113.7581706,35.70456821
12015,-81.91185513,26.90579274
20039,-100.4593928,39.78469039
35006,-107.9992972,34.91240949
26001,-83.59385271,44.68477825
6105,-123.1126773,40.65059444
1103,-86.85325062,34.45331009
31159,-97.13966029,40.8724014
40153,-99.26427063,36.42251383
39063,-83.66630827,41.00178146
36057,-74.43985937,42.90217659
29139,-91.47020839,38.94128519
20097,-99.28576492,37.55841651
13149,-85.12848262,33.296853
48085,-96.57266803,33.18822716
48107,-101.3000364,33.61431553
48081,-100.5295971,31.88933528
12003,-82.28452499,30.3309289
26017,-83.99005144,43.70716549
37153,-79.74711644,35.00590629
29023,-90.40672985,36.71638784
27105,-95.75326093,43.67428858
23001,-70.20524042,44.16543634
37003,-81.17692946,35.92074753
37063,-78.87606872,36.03605321
36093,-74.05833636,42.81832249
27079,-93.72984216,44.37144158
28107,-89.95079634,34.3639856
19027,-94.86032705,42.03617207
19075,-92.7914653,42.40195716
46003,-98.56175096,43.7180875
29173,-91.52194283,39.5275593
4005,-111.7705493,35.83875351
8081,-108.2075581,40.61858161
18141,-86.29001543,41.61670349
39037,-84.61945793,40.13381861
51590,-79.40912354,36.58309677
39077,-82.59842269,41.14651716
31053,-96.6539044,41.57781563
31097,-96.26520163,40.39252282
19165,-95.31015553,41.6850066
19197,-93.73515113,42.73305373
26057,-84.60482908,43.29296993
56025,-106.7988764,42.96194049
20163,-99.3248686,39.35022485
48153,-101.3031546,34.07227468
48227,-101.4356444,32.30621324
12099,-80.46503899,26.64741122
18171,-87.35336964,40.34704622
20187,-101.7842716,37.56304856
39085,-81.23712921,41.69689265
37181,-78.40836693,36.36465914
30089,-115.1333094,47.67490166
28039,-88.64422567,30.86260363
51081,-77.55962422,36.67571583
55065,-90.13189524,42.66021077
18101,-86.80307723,38.7079435
19187,-94.18176099,42.42794934
20067,-101.3079758,37.56227336
28129,-89.50664426,32.01792861
26075,-84.42251355,42.24852059
48497,-97.65458625,33.215766
36015,-76.75989461,42.14122122
48279,-102.3516289,34.06859623
6079,-120.4042917,35.38707354
40129,-99.69538847,35.68852706
38017,-97.24822334,46.93292237
37157,-79.77527984,36.39621434
35015,-104.3041733,32.47155056
27109,-92.40209709,44.00380771
6089,-122.0409443,40.76391106
55075,-88.03335785,45.38289899
31141,-97.52073009,41.57115154
35057,-105.8505392,34.64043207
19087,-91.54434433,40.98760854
19175,-94.24234847,41.0277278
27007,-94.93765473,47.97364569
27085,-94.27237288,44.82372142
19067,-92.78940097,43.0600053
20205,-95.74323255,37.55937174
55035,-91.28609183,44.726614
48135,-102.5429428,31.86898877
13119,-83.2291908,34.37559112
20189,-101.3119048,37.19230822
42001,-77.21807609,39.87146641
46013,-98.35163367,45.58993475
27043,-93.94781493,43.67387282
19137,-95.15642896,41.03018714
1021,-86.71887934,32.84771004
39113,-84.29037841,39.75442102
40073,-97.94153042,35.94535722
19147,-94.67824621,43.08193849
19047,-95.3819718,42.03718237
17107,-89.36775244,40.12467469
18081,-86.10174496,39.4899568
27083,-95.83918761,44.41338502
26165,-85.5781774,44.33841768
55027,-88.70770995,43.41581374
48021,-97.31201625,30.10367452
48149,-96.91986981,29.87663549
48159,-95.21903806,33.17532732
4012,-113.981207,33.7291609
24510,-76.61440436,39.30522045
42105,-77.89566563,41.74480517
47069,-88.99308826,35.2067611
26023,-85.05923475,41.91588904
13173,-83.06330638,31.03799605
19081,-93.73454884,43.08178477
36109,-76.47381763,42.45222263
36053,-75.66993538,42.91279676
19019,-91.83745828,42.47108244
19123,-92.64083907,41.33521502
20031,-95.73407587,38.23677253
19125,-93.09934783,41.33445101
17095,-90.2133034,40.93148779
27095,-93.62993103,45.9373852
19179,-92.40954728,41.03064984
16085,-115.5662454,44.76650867
28035,-89.25794407,31.18899065
17079,-88.15377894,39.01061641
46073,-98.62965972,44.06637798
55141,-90.0416185,44.45535331
48233,-101.3546643,35.84006574
48425,-97.77458843,32.22235362
48079,-102.8285179,33.60426094
48145,-96.93634455,31.25354356
27019,-93.8027205,44.82089558
38013,-102.5181759,48.79096757
48375,-101.893964,35.40133773
18099,-86.26180055,41.3248735
48069,-102.2617081,34.53004051
37007,-80.10243931,34.97378348
6005,-120.651296,38.44638702
16059,-113.9335998,44.9436279
19141,-95.62474725,43.0836202
16075,-116.7604309,44.00714137
17117,-89.92459485,39.26136043
37195,-77.9189122,35.70531169
17123,-89.34481931,41.03327407
19003,-94.69932645,41.02903567
19011,-92.06463573,42.08011739
51089,-79.87418576,36.68267428
55131,-88.23041319,43.36887792
27117,-96.258643,44.02300689
27031,-90.53150846,47.90304185
27147,-93.22627088,44.02240351
47001,-84.19904346,36.11862903
16039,-115.4691486,43.35417471
20057,-99.88814767,37.69182131
41047,-122.5849114,44.90322354
18145,-85.79146519,39.52312646
42079,-75.98893638,41.17686973
29117,-93.54864835,39.78202789
27161,-93.58720505,44.0220714
1111,-85.45918107,33.29354361
36005,-73.8615688,40.85091824
31119,-97.60078361,41.9166434
38021,-98.50488391,46.11017237
29109,-93.83291444,37.10627971
55059,-88.04209555,42.57659172
26073,-84.84664923,43.64060976
5031,-90.63270647,35.8310138
35047,-104.8156292,35.48004639
26109,-87.55660994,45.58036988
39089,-82.48290477,40.09170112
31011,-98.06703102,41.7067951
19033,-93.2612239,43.08177563
46025,-97.72949102,44.8584651
46039,-96.66802862,44.76015949
42021,-78.71388554,40.49518786
48023,-99.21352901,33.61640794
46047,-103.5274481,43.23917478
46099,-96.7914546,43.67413367
53001,-118.5603559,46.98352425
42037,-76.4051503,41.04903639
55069,-89.73474025,45.33724242
31003,-98.06660249,42.17696571
55089,-87.95138777,43.38375913
55097,-89.50154548,44.47561378
48047,-98.21866528,27.03154713
55033,-91.89653391,44.94674851
55117,-87.94566398,43.72108736
37151,-79.8058818,35.71023333
20199,-101.7637347,38.91690628
48093,-98.55874953,31.94854859
48103,-102.5151699,31.4287137
26037,-84.60138451,42.9439517
17029,-88.22141023,39.52086003
19077,-94.50111014,41.68378965
17037,-88.76979995,41.8933691
17041,-88.21756136,39.7695478
20115,-97.09712874,38.35899873
21129,-83.71573518,37.59456493
26077,-85.53044157,42.24536002
21157,-88.32927113,36.88327592
26081,-85.54918115,43.03204611
26107,-85.32464875,43.64070731
26117,-85.15230226,43.31058414
27047,-93.3488462,43.67383179
26133,-85.32556471,43.98998373
17049,-88.58969703,39.05935691
17053,-88.22313426,40.59686492
21233,-87.68319621,37.51850288
48303,-101.8204789,33.61008596
40043,-99.00647121,35.98768882
48349,-96.47280759,32.04696933
19035,-95.62389402,42.73538914
19017,-92.31795937,42.77461496
27093,-94.52871063,45.12332877
27059,-93.29470209,45.56125565
48413,-100.5384877,30.89734895
27165,-94.61413846,43.97823903
36021,-73.63186276,42.25016297
34023,-74.41108832,40.43949114
27121,-95.44454861,45.58611957
29115,-93.10705251,39.870461
6071,-116.1783784,34.84157876
13175,-82.92233434,32.46355824
13133,-83.16678441,33.57887215
5123,-90.74840472,35.02180511
55085,-89.52161421,45.70521979
55113,-91.14489019,45.87995292
27137,-92.46951183,47.60334656
12041,-82.80043459,29.72600841
29061,-93.98514508,39.96169076
29079,-93.56516333,40.1140924
48049,-98.99881071,31.77417703
48209,-98.03105783,30.05810528
48235,-100.982439,31.30375559
37081,-79.78852575,36.07964464
20173,-97.46083703,37.68448116
6053,-121.2387503,36.21711865
19013,-92.30867416,42.47009403
20023,-101.7318625,39.78580547
12027,-81.80959835,27.18691656
17137,-90.20121837,39.71580417
8045,-107.9036205,39.59941978
48237,-98.17283469,33.23377248
12111,-80.47111892,27.377528
8057,-106.3427076,40.66623861
13023,-83.32769512,32.43444176
20121,-94.83822279,38.56363954
17109,-90.67775541,40.45674722
20109,-101.148475,38.91735806
17121,-88.91900564,38.64962591
39119,-81.94452332,39.96581387
20193,-101.0553705,39.35107575
8103,-108.2172628,39.97993245
8105,-106.3829289,37.58223621
39137,-84.13168547,41.02216769
17175,-89.79757636,41.09327074
39139,-82.53676639,40.77482478
48393,-100.813175,35.83809685
48399,-99.97616148,31.8314342
48421,-101.8933684,36.27765456
17199,-88.93009646,37.73040742
12011,-80.48723143,26.15220703
39033,-82.91997484,40.85061678
13195,-83.20833143,34.12798628
48011,-101.3574874,34.96507426
48317,-101.9513518,32.30600051
48033,-101.4316509,32.74363984
40031,-98.47164344,34.6620099
8025,-103.7838298,38.32685938
48431,-101.0500746,31.82781912
48461,-102.0428877,31.36864453
48495,-103.048449,31.85000039
48253,-99.87871324,32.7400927
48441,-99.88996827,32.30175703
48335,-100.9212058,32.30623474
48059,-99.37326312,32.29760619
40083,-97.44308101,35.91913897
36043,-74.96255405,43.41936241
48467,-95.83674215,32.56379892
40109,-97.4075036,35.55141319
48213,-95.85377795,32.21224151
36007,-75.8198592,42.16037158
48185,-95.98558082,30.5437066
40127,-95.37595261,34.41635817
29063,-94.40452876,39.89285656
54033,-80.37983086,39.28363307
28031,-89.55267845,31.6331285
50015,-72.641331,44.60594136
28069,-88.64097868,32.75459457
32021,-118.4346446,38.53880917
39015,-83.86741596,38.93410315
27017,-92.67716012,46.592321
12019,-81.85783045,29.98317912
38101,-101.541865,48.22179884
20185,-98.71763136,38.03102509
41021,-120.210458,45.37780558
38049,-100.6362783,48.23439818
20105,-98.20749,39.04547506
13021,-83.69682554,32.80691473
26125,-83.38594391,42.66090645
19009,-94.90581859,41.6844628
18015,-86.5635188,40.58306044
26135,-84.12938765,44.68170135
47047,-89.41493045,35.19709994
20167,-98.76247878,38.91467637
26087,-83.22153148,43.09052506
51550,-76.30244008,36.67787032
18179,-85.22119115,40.72931843
20085,-95.79433878,39.41641542
19171,-92.53266945,42.07991767
6103,-122.2338547,40.12559985
18103,-86.04523681,40.76954805
6109,-119.9551317,38.02748982
49043,-110.9558542,40.86838131
17141,-89.32021067,42.04257451
6057,-120.7682923,39.30150048
20027,-97.16512523,39.34944765
16049,-115.4671964,45.84388002
38079,-99.84096449,48.77247566
20143,-97.65020313,39.13237408
36049,-75.44886742,43.78465035
37029,-76.20583468,36.38675278
20119,-100.3655617,37.23826363
42007,-80.34928676,40.68241496
31095,-97.14261379,40.17580816
13009,-83.24970322,33.06940962
48501,-102.8279472,33.1730387
42025,-75.70851105,40.91846484
39149,-84.20440063,40.33212183
18057,-86.05184193,40.07229856
19015,-93.93139995,42.0366177
26021,-86.41252941,41.95468812
26067,-85.07413319,42.94502238
48129,-100.8140093,34.96517499
47113,-88.83867386,35.60806385
39023,-83.78354054,39.91660044
4023,-110.8466869,31.52598116
13177,-84.14092773,31.77942972
20175,-100.850601,37.19327656
22017,-93.88236667,32.5802177
23009,-68.35862848,44.64373173
39039,-84.49071987,41.3239854
30025,-104.417515,46.3343054
27063,-95.15400031,43.67418723
28123,-89.53789439,32.4067041
8003,-105.788359,37.57261807
12091,-86.59219666,30.69101554
12117,-81.23634611,28.71682625
46049,-99.14535601,45.07082625
13131,-84.23475065,30.87476853
27111,-95.70748857,46.4090783
44001,-71.28385194,41.71169465
26059,-84.59305475,41.88768696
8041,-104.5257538,38.83242336
31139,-97.60122773,42.26434853
29169,-92.20749866,37.82458658
39169,-81.88780787,40.82926705
26111,-84.38804837,43.64674881
19113,-91.59809485,42.07923082
16015,-115.730321,43.98909247
27041,-95.45422901,45.93372693
17055,-88.9239703,37.99202257
55081,-90.61820195,43.94576215
55025,-89.41786325,43.06746565
47131,-89.1487146,36.35824874
20191,-97.476759,37.2369258
30051,-111.0252038,48.56122467
28075,-88.66247435,32.40429857
48117,-102.6052738,34.96515022
42109,-77.06984318,40.76993359
40103,-97.23050054,36.3884853
20111,-96.15280427,38.45580918
17093,-88.42879892,41.59088826
26045,-84.83740035,42.59599185
17039,-88.90408529,40.17434051
19029,-94.92806328,41.33152905
48463,-99.76229172,29.35739637
40015,-98.37502407,35.17437642
27131,-93.2965986,44.35432778
27151,-95.68142474,45.28288933
55129,-91.79131495,45.89909725
31001,-98.50117804,40.5244942
20203,-101.3471509,38.48178252
55087,-88.46565023,44.41578887
48127,-99.75646833,28.42276169
48139,-96.79470819,32.34880007
48437,-101.7349174,34.53028891
36017,-75.61144344,42.49352629
39071,-83.60078719,39.18468334
13275,-83.91853341,30.86359281
18007,-87.31082597,40.60631635
26095,-85.54389048,46.4704998
37041,-76.60802425,36.14854015
39171,-84.58816167,41.56027968
37169,-80.23912302,36.40186627
29091,-91.88649829,36.77371722
33009,-71.82064764,43.94073661
26127,-86.26734566,43.64097781
53007,-120.6188281,47.86921949
31185,-97.59710186,40.87272618
31019,-99.07510068,40.85504881
39143,-83.14419942,41.35730372
40039,-99.0014123,35.63856198
18095,-85.71947571,40.16126825
20133,-95.30682401,37.5582728
20083,-99.89821264,38.08784693
29205,-92.07658198,39.7979959
46005,-98.27883711,44.41467039
51775,-80.05325441,37.28655753
1081,-85.35522451,32.60106116
4007,-110.8119677,33.79996932
6061,-120.717846,39.06347097
6017,-120.5247066,38.77888901
13097,-84.76851394,33.7021135
37069,-78.2853416,36.08251637
39159,-83.37130174,40.29926661
38045,-98.53552136,46.45686514
39065,-83.65939867,40.66129428
18067,-86.1167092,40.48362355
20009,-98.75632156,38.478934
17011,-89.52841534,41.40406966
27039,-92.86236786,44.02229546
55053,-90.80515334,44.31927005
26025,-85.00508394,42.24636617
20135,-99.91547333,38.47974157
20015,-96.83878537,37.78134351
46069,-99.48692012,44.54709825
46017,-99.20485567,44.07640555
48065,-101.3542669,35.40365929
48173,-101.5207776,31.86942909
48381,-101.8971322,34.96585996
46037,-97.60737593,45.36728275
17197,-87.97829555,41.44485087
19063,-94.67861391,43.37782281
23003,-68.5987449,46.65913528
37149,-82.17008141,35.27959223
27091,-94.55099667,43.67430059
32013,-118.1118195,41.4063802
13243,-84.75379101,31.7621807
48359,-102.6027421,35.40425708
37109,-81.22393811,35.48589556
38069,-99.97174953,48.24958064
36035,-74.42194258,43.11377432
31077,-98.52144222,41.56747021
18157,-86.89407624,40.38871167
18093,-86.48322849,38.84095382
19121,-94.01554631,41.33081904
17171,-90.47455118,39.64403604
50009,-71.736327,44.7283185
55071,-87.80948518,44.11990639
39151,-81.36571811,40.8138382
29039,-93.85592541,37.72350148
20059,-95.28621552,38.56442768
18181,-86.8655579,40.74977914
17051,-89.02441763,39.0000587
27067,-95.00576302,45.15252304
31059,-97.59646937,40.52458567
19073,-94.39658081,42.03614551
20159,-98.20053402,38.34721983
20003,-95.29324204,38.21396508
46059,-99.00538393,44.54798838
55055,-88.77532763,43.02053192
36097,-76.8749143,42.39369114
46029,-97.18860384,44.97790512
28067,-89.168969,31.62257767
37077,-78.65301,36.30365992
39103,-81.8998621,41.11770589
16081,-111.2078712,43.7599238
20155,-98.08586348,37.95303921
41055,-120.6892687,45.4052255
19021,-95.15100162,42.73545875
19079,-93.70672502,42.38395377
17023,-87.7878617,39.33402321
19145,-95.15010031,40.73917437
26131,-89.31491201,46.66430808
48003,-102.6376348,32.30470528
47067,-83.2217117,36.52355034
35029,-107.7498996,32.18233304
31061,-98.95299529,40.17637323
6069,-121.0752215,36.60559815
18097,-86.13826325,39.78163624
51065,-78.27765024,37.84216441
48075,-100.2077744,34.52929885
41043,-122.5341835,44.48880768
37001,-79.39913194,36.04378576
39129,-83.02450193,39.64185964
27149,-96.00022786,45.58615985
27125,-96.09561104,47.87197525
19037,-92.31766909,43.06009652
28017,-88.94784369,33.92084863
29101,-93.80588795,38.74399152
27051,-96.01216405,45.93402352
28079,-89.52402041,32.7536828
48125,-100.7788855,33.61616822
48189,-101.8268114,34.07044901
39125,-84.58018842,41.11674251
8017,-102.6036365,38.82780723
17163,-89.92848248,38.4703223
23029,-67.62910779,45.02177186
26153,-86.19985664,46.19666734
39107,-84.62929783,40.54030771
31109,-96.68776297,40.78416865
31157,-103.7084612,41.85095717
33011,-71.71602867,42.9153307
30001,-112.899016,45.13261641
6019,-119.6506833,36.75807672
12055,-81.34078347,27.3428855
56029,-109.5885953,44.52053528
48385,-99.82222259,29.8324893
13179,-81.49463778,31.82777126
8011,-103.0720227,37.95492416
48305,-101.8162849,33.17657705
20051,-99.31751551,38.91458712
20117,-96.52279918,39.78357355
55005,-91.84833604,45.42372695
29015,-93.28827876,38.2951634
